EnsemblID,GeneName,ID
ENSMUSG00000033834,Tpbpa,1438190_x_at
ENSMUSG00000048874,Phf3,1438070_at
ENSMUSG00000048874,Phf3,1428999_at
ENSMUSG00000048874,Phf3,1428998_at
ENSMUSG00000048874,Phf3,1452441_at
ENSMUSG00000048874,Phf3,1429000_at
ENSMUSG00000048874,Phf3,1442173_at
ENSMUSG00000040997,Abhd4,1439259_x_at
ENSMUSG00000040997,Abhd4,1416315_at
ENSMUSG00000033985,Tesk2,1426546_at
ENSMUSG00000063316,Rpl27,1448217_a_at
ENSMUSG00000063316,Rpl27,1416099_at
ENSMUSG00000063316,Rpl27,1453096_x_at
ENSMUSG00000058704,Memo1,1420339_at
ENSMUSG00000058704,Memo1,1449821_a_at
ENSMUSG00000023048,Prr13,1423686_a_at
ENSMUSG00000020621,Rdh14,1417438_at
ENSMUSG00000055298,Ctsj,1416413_at
ENSMUSG00000027555,Car13,1421308_at
ENSMUSG00000027555,Car13,1421307_at
ENSMUSG00000027555,Car13,1439620_at
ENSMUSG00000066632,Pgk1-rs7,1417864_at
ENSMUSG00000078097,Gm10913,1436046_x_at
ENSMUSG00000010358,Ifi35,1459151_x_at
ENSMUSG00000010358,Ifi35,1424617_at
ENSMUSG00000010358,Ifi35,1445897_s_at
ENSMUSG00000112298,Gm48088,1436046_x_at
ENSMUSG00000112298,Gm48088,1455348_x_at
ENSMUSG00000112298,Gm48088,1454627_a_at
ENSMUSG00000095620,Csta2,1449909_at
ENSMUSG00000068206,Pick1,1454530_at
ENSMUSG00000068206,Pick1,1419384_at
ENSMUSG00000054808,Actn4,1423449_a_at
ENSMUSG00000047002,Msgn1,1421798_at
ENSMUSG00000021439,Ctsq,1422289_a_at
ENSMUSG00000028496,Mllt3,1429205_at
ENSMUSG00000028496,Mllt3,1431890_a_at
ENSMUSG00000028496,Mllt3,1453622_s_at
ENSMUSG00000020346,Mgat1,1423609_a_at
ENSMUSG00000026064,Ptp4a1,1455002_at
ENSMUSG00000026064,Ptp4a1,1449322_at
ENSMUSG00000026064,Ptp4a1,1438657_x_at
ENSMUSG00000026064,Ptp4a1,1419024_at
ENSMUSG00000048153,Olfr49,1422370_at
ENSMUSG00000055679,Ctsr,1419142_at
ENSMUSG00000023828,Slc22a3,1420444_at
ENSMUSG00000021940,Ptpn20,1418759_at
ENSMUSG00000009927,Rps25,1451068_s_at
ENSMUSG00000009927,Rps25,1430978_at
ENSMUSG00000054905,Stfa3,1419709_at
ENSMUSG00000051980,Casr,1449882_a_at
ENSMUSG00000051980,Casr,1449881_a_at
ENSMUSG00000021441,Cts6,1418689_at
ENSMUSG00000025358,Cdk2,1416873_a_at
ENSMUSG00000057446,Cts8,1446266_at
ENSMUSG00000057446,Cts8,1420680_at
ENSMUSG00000028672,Hmgcl,1424639_a_at
ENSMUSG00000056116,H2-T22,1449875_s_at
ENSMUSG00000056116,H2-T22,1439121_at
ENSMUSG00000021943,Gdf10,1424007_at
ENSMUSG00000005813,Metap1,1426837_at
ENSMUSG00000005813,Metap1,1426836_s_at
ENSMUSG00000005813,Metap1,1426835_at
ENSMUSG00000032988,Slc16a8,1420445_at
ENSMUSG00000072625,Gdf2,1425882_at
ENSMUSG00000041534,Rbp3,1425105_at
ENSMUSG00000022901,Cd86,1420404_at
ENSMUSG00000022901,Cd86,1449858_at
ENSMUSG00000114473,Gm49398,1446266_at
ENSMUSG00000114473,Gm49398,1420680_at
ENSMUSG00000000959,Oxa1l,1451088_a_at
ENSMUSG00000000959,Oxa1l,1423738_at
ENSMUSG00000028671,Gale,1424140_at
ENSMUSG00000021440,Cts7,1451933_a_at
ENSMUSG00000026029,Casp8,1424552_at
ENSMUSG00000075700,Selenot,1452167_at
ENSMUSG00000075700,Selenot,1453726_s_at
ENSMUSG00000022900,Ildr1,1423276_at
ENSMUSG00000020608,Smc6,1448828_at
ENSMUSG00000020608,Smc6,1417736_at
ENSMUSG00000020608,Smc6,1448829_at
ENSMUSG00000020608,Smc6,1422910_s_at
ENSMUSG00000020608,Smc6,1422909_at
